#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin,Penalty
190,1,[UNIMONTES] Thundercats,74,D,C++,teste.cpp,judged,juiz6 (1),YES,1,94
191,1,[UEFS] Untitled.c,75,D,C,D.c,judged,juiz6 (1),YES,1,135
192,1,[UNIOESTE-Cascavel] Não Entre em Pânico,75,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,21
193,1,[UFSCar] PonteirosReversos,76,I,C++,i.cpp,judged,juiz6 (1),NO - Time limit exceeded,0,42
194,1,[UFRGS] Knights of The Round Robin,78,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer,0,104
195,1,[UNIARARAS] Grupo Gama,78,I,C,I.c,judged,juiz3 (1),NO - Wrong answer,0,59
196,1,[FATEC-AM] a; DROP TABLEuser; --,78,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,47
197,1,[UNIMONTES] Thundercats,78,H,C++,hours.cpp,judged,juiz2 (1),YES,1,172
198,1,[UFPE] Coração das Cartas,78,A,C++,A.cpp,judged,juiz2 (1),NO - Wrong answer,0,92
199,1,[PUC-RJ] Stalingrafo,80,I,C++,I.cpp,judged,juiz3 (1),YES,1,119
200,1,[FATEC-AM] a; DROP TABLEuser; --,81,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,47
201,1,[UNIARARAS] Grupo Gama,81,I,C,I-3.c,judged,juiz5 (1),NO - Wrong answer,0,59
202,1,[UFS] Y U no accept?,82,H,C++,h.cpp,judged,juiz2 (1),YES,1,204
203,1,[UFPE] Coração das Cartas,82,C,C++,C.cpp,judged,juiz2 (1),YES,1,174
204,1,"[UFAM] ICompUFAM-""Computa agora""",82,I,C++,interval.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,88
205,1,[UNIARARAS] Grupo Gama,82,I,C,I.c,judged,juiz2 (1),NO - Wrong answer,0,59
206,1,[DCC-UFRJ] using namespace none;,82,C,C++,C.cpp,judged,juiz3 (1),YES,1,165
207,1,[UNISUL] Go Horse,83,I,Java,I.java,judged,juiz2 (1),NO - Time limit exceeded,0,63
208,1,[UNIARARAS] Grupo Gama,84,I,C,I.c,judged,juiz3 (1),NO - Wrong answer,0,59
209,1,[UFPR] Berro Trypanossomático,85,G,C++,G.cpp,judged,juiz5 (1),NO - Time limit exceeded,0,117
210,1,[UTFPR] sudo make a sandwich,85,I,C++,I.cpp,judged,juiz5 (1),NO - Time limit exceeded,0,89
211,1,[UFPR] Berro Trypanossomático,86,G,C++,G.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,117
212,1,[UFMG] UFMG In rand() we trust!,87,C,C++,C.cpp,judged,juiz3 (1),YES,1,172
213,1,[UNICAMP] Os Cartolas,87,G,C++,g.cpp,judged,juiz3 (1),NO - Wrong answer,0,115
214,1,[UFPR] Berro Trypanossomático,88,C,C++,C.cpp,judged,juiz2 (1),NO - Runtime error,0,117
215,1,[IME-RJ] Timelhosa,90,C,C++,C.cpp,judged,juiz5 (1),YES,1,148
216,1,[UEFS] Untitled.c,90,I,C,I.c,judged,juiz2 (1),NO - Runtime error,0,135
217,1,[UFPR] Berro Trypanossomático,91,G,C++,G.cpp,judged,juiz2 (1),NO - Wrong answer,0,117
218,1,[UFPI] Dont Care,92,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,43
219,1,[UNICAMP] PhD na área;,92,C,C++,cm.cpp,judged,juiz4 (1),YES,1,199
220,1,[UERJ] MOJUCA,94,C,C++,C.cpp,judged,juiz2 (1),NO - Wrong answer,0,79
221,1,[UNICAMP] Os Cartolas,94,G,C++,g.cpp,judged,juiz4 (1),NO - Wrong answer,0,115
222,1,[UNIARARAS] Grupo Gama,94,I,C,I.c,judged,juiz4 (1),NO - Wrong answer,0,59
223,1,[UFRGS] Knights of The Round Robin,95,I,C++,I.cpp,judged,juiz3 (1),YES,1,219
224,1,[UNIVASF] PiratasDoValeDoSãoFrancisco,95,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,62
225,1,[UFPR] Berro Trypanossomático,95,C,C++,C.cpp,judged,juiz3 (1),NO - Runtime error,0,117
226,1,[UNISUL] Go Horse,95,I,Java,I.java,judged,juiz3 (1),NO - Time limit exceeded,0,63
227,1,[UNICAMP] Os Cartolas,97,G,C++,g.cpp,judged,juiz2 (1),NO - Wrong answer,0,115
228,1,"[ITA] jQuery bool, jQuery char!",97,E,C++,environment.cpp,judged,juiz4 (1),YES,1,194
229,1,[URI] PontoCPP,99,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,48
230,1,[UFPI] Dont Care,99,H,C++,H.cpp,judged,juiz3 (1),YES,1,142
231,1,[UTFPR] sudo make a sandwich,100,I,C++,I.cpp,judged,juiz3 (1),YES,1,209
232,1,[UFRN] Absurdo Clássico - Agora Vai!,100,C,C++,C.cpp,judged,juiz2 (1),YES,1,171
233,1,[UERJ] MOJUCA,101,C,C++,C.cpp,judged,juiz2 (1),NO - Wrong answer,0,79
234,1,"[UFAM] ICompUFAM-""Computa agora""",101,H,C++,hours.cpp,judged,juiz6 (1),YES,1,189
235,1,[UFPR] Berro Trypanossomático,102,G,C++,G.cpp,judged,juiz5 (1),NO - Compilation error,0,117
236,1,[UNIFEI] while (c==8),102,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer,0,63
237,1,[UNICAMP] Os Cartolas,103,G,C++,g.cpp,judged,juiz5 (1),NO - Wrong answer,0,115
238,1,[UERJ] MOJUCA,105,C,C++,C.cpp,judged,juiz4 (1),NO - Wrong answer,0,79
239,1,[ICMC-USP] I Can Haz Balloonz,106,C,C++,c.cpp,judged,juiz5 (1),YES,1,171
